total_epoch,confidence_threshold,iou_threshold,precision,recall,accuracy,f1
11,0.7,0.6,0.9693251533742331,0.2653232577665827,0.2631140716069942,0.4166117336849044
11,0.7,0.7,0.9691780821917808,0.23083197389885807,0.2291497975708502,0.37285902503293805
11,0.7,0.8,0.9705215419501134,0.1646153846153846,0.16379640260237274,0.28148635317329823
11,0.7,0.9,0.9918032786885246,0.04128283862163084,0.041268758526603,0.07926629544710122
11,0.8,0.6,0.9747474747474747,0.1704946996466431,0.16974494283201408,0.29022556390977444
11,0.8,0.7,0.978319783197832,0.15743567378979503,0.1568883094306823,0.27122464312546957
11,0.8,0.8,0.9761904761904762,0.12114816378218658,0.1207912457912458,0.21554637626736764
11,0.8,0.9,1.0,0.03288201160541586,0.03288201160541586,0.06367041198501873
11,0.9,0.6,0.978021978021978,0.04045454545454545,0.04041780199818347,0.07769532955041467
11,0.9,0.7,0.9761904761904762,0.03715450838241957,0.03712086917157085,0.07158446093408992
11,0.9,0.8,0.971830985915493,0.031081081081081083,0.031053105310531053,0.06023570493234395
11,0.9,0.9,1.0,0.008355321020228672,0.008355321020228672,0.016572176188399478
21,0.7,0.6,0.967687074829932,0.25642181162685895,0.25424486148346737,0.40541503384396155
21,0.7,0.7,0.9717314487632509,0.24509803921568626,0.24336283185840707,0.3914590747330961
21,0.7,0.8,0.9709864603481625,0.21883173496076722,0.21741013425725422,0.35716826752045533
21,0.7,0.9,0.9730941704035875,0.08355795148247978,0.08336534767575873,0.15390070921985816
21,0.8,0.6,0.9661016949152542,0.12978142076502733,0.12919310970081596,0.22882376555600162
21,0.8,0.7,0.9688581314878892,0.12709940989559693,0.12658227848101267,0.2247191011235955
21,0.8,0.8,0.9662921348314607,0.11595505617977528,0.11548791405550582,0.20706260032102727
21,0.8,0.9,0.9696969696969697,0.054122621564482026,0.054031236808780074,0.10252302763315979
21,0.9,0.6,0.9642857142857143,0.02464628023733455,0.024623803009575923,0.04806408544726302
21,0.9,0.7,0.9642857142857143,0.02464628023733455,0.024623803009575923,0.04806408544726302
21,0.9,0.8,0.9636363636363636,0.024178832116788323,0.02415679124886053,0.04717400979083222
21,0.9,0.9,1.0,0.015349887133182845,0.015349887133182845,0.03023566029346376
31,0.7,0.6,0.9617537313432836,0.4553886925795053,0.4472885032537961,0.61810551558753
31,0.7,0.7,0.9623552123552124,0.4331016507384883,0.42588637334472446,0.597363690832834
31,0.7,0.8,0.9682899207248018,0.3467153284671533,0.34282277465918204,0.5106001791579576
31,0.7,0.9,0.9739583333333334,0.12537713711029166,0.1249582358837287,0.22215622215622216
31,0.8,0.6,0.9799072642967542,0.2855855855855856,0.283922973578146,0.44227415416812
31,0.8,0.7,0.9809825673534073,0.27670987930263746,0.27523343708314807,0.4316596931659693
31,0.8,0.8,0.982363315696649,0.2418584455058619,0.2408127972330307,0.38815331010452964
31,0.8,0.9,0.9787985865724381,0.10690852952527981,0.10666153253754332,0.19276270006958943
31,0.9,0.6,0.9806451612903225,0.06927985414767548,0.06918525261720528,0.12941677309493402
31,0.9,0.7,0.98,0.06684856753069578,0.0667574931880109,0.1251596424010217
31,0.9,0.8,0.986013986013986,0.06388763026733121,0.06382978723404255,0.12
31,0.9,0.9,0.9879518072289156,0.036155202821869487,0.03613926840017629,0.06975754997873246
41,0.7,0.6,0.9640151515151515,0.4577338129496403,0.4500442086648983,0.6207317073170732
41,0.7,0.7,0.9665683382497542,0.43361270401411556,0.42720556279878313,0.5986601705237515
41,0.7,0.8,0.9659090909090909,0.35299003322259137,0.34864643150123054,0.5170316301703163
41,0.7,0.9,0.9735449735449735,0.12559726962457338,0.1251700680272109,0.22249093107617895
41,0.8,0.6,0.9730639730639731,0.2623694961416251,0.2604776926543488,0.41329996424740795
41,0.8,0.7,0.9726962457337884,0.25780189959294436,0.2559497081275258,0.40757954951734
41,0.8,0.8,0.975517890772128,0.22829440282062582,0.22699386503067484,0.37
41,0.8,0.9,0.9882352941176471,0.09863013698630137,0.0985144644253323,0.17935943060498222
41,0.9,0.6,0.9634146341463414,0.03605659516202647,0.03600729261622607,0.06951165860096789
41,0.9,0.7,0.9625,0.03511171910624715,0.03506375227686703,0.06775186977562693
41,0.9,0.8,0.9733333333333334,0.03319690768531151,0.033166742389822805,0.06420404573438875
41,0.9,0.9,1.0,0.01743406347787215,0.01743406347787215,0.03427065026362039
51,0.7,0.6,0.9554367201426025,0.477080551846907,0.4666956900304745,0.6363906203621252
51,0.7,0.7,0.9564411492122336,0.4500654164849542,0.441025641025641,0.6120996441281139
51,0.7,0.8,0.9600840336134454,0.37628653766982295,0.3704904742602351,0.5406684412895593
51,0.7,0.9,0.9742489270386266,0.15436926215572935,0.15374195733152726,0.2665101262107426
51,0.8,0.6,0.9669421487603306,0.3167870036101083,0.31339285714285714,0.4772263766145479
51,0.8,0.7,0.9674220963172805,0.3053196244970943,0.30221238938053097,0.46415222562011554
51,0.8,0.8,0.9707241910631741,0.2741514360313316,0.2719033232628399,0.42755344418052255
51,0.8,0.9,0.9811320754716981,0.14064914992272023,0.14026974951830443,0.24602906387293005
51,0.9,0.6,0.9745222929936306,0.06970387243735764,0.06957708049113233,0.13010204081632654
51,0.9,0.7,0.9741935483870968,0.06873008648156577,0.06860517946388005,0.1284013605442177
51,0.9,0.8,0.9726027397260274,0.0643699002719855,0.06425339366515836,0.12074829931972789
51,0.9,0.9,0.99,0.04390243902439024,0.043882978723404256,0.0840764331210191
61,0.7,0.6,0.9712351945854484,0.5152603231597845,0.5075154730327144,0.6733137829912024
61,0.7,0.7,0.97117903930131,0.4907325684024713,0.48368856024358414,0.6520082087364409
61,0.7,0.8,0.9732142857142857,0.40722291407222916,0.4027093596059113,0.5741878841088675
61,0.7,0.9,0.9755600814663951,0.16286977218633117,0.16220792414493734,0.27913752913752915
61,0.8,0.6,0.9760479041916168,0.2963636363636364,0.29422382671480146,0.45467224546722457
61,0.8,0.7,0.9756468797564688,0.28991406603346903,0.28783116299955097,0.44700139470013944
61,0.8,0.8,0.9785831960461285,0.2623674911660777,0.2608695652173913,0.41379310344827586
61,0.8,0.9,0.99079754601227,0.1264187866927593,0.12627052384675527,0.2242276987157237
