total_epoch,confidence_threshold,iou_threshold,precision,recall,accuracy,f1
10,0.7,0.6,1.0,0.0040853381752156154,0.0040853381752156154,0.0081374321880651
10,0.7,0.7,1.0,0.0031746031746031746,0.0031746031746031746,0.006329113924050633
10,0.7,0.8,1.0,0.001358080579447714,0.001358080579447714,0.0027124773960217
20,0.7,0.6,1.0,0.02171945701357466,0.02171945701357466,0.042515500442869794
20,0.7,0.7,1.0,0.016201620162016202,0.016201620162016202,0.03188662533215235
20,0.7,0.8,1.0,0.004895416110369382,0.004895416110369382,0.00974313551815766
20,0.7,0.9,1.0,0.00044306601683650863,0.00044306601683650863,0.0008857395925597874
30,0.7,0.6,1.0,0.00045599635202918376,0.00045599635202918376,0.0009115770282588879
30,0.7,0.7,1.0,0.00045599635202918376,0.00045599635202918376,0.0009115770282588879
30,0.7,0.8,1.0,0.00045599635202918376,0.00045599635202918376,0.0009115770282588879
30,0.7,0.9,1.0,0.00045599635202918376,0.00045599635202918376,0.0009115770282588879
50,0.7,0.6,1.0,0.0013679890560875513,0.0013679890560875513,0.00273224043715847
50,0.7,0.7,1.0,0.0013679890560875513,0.0013679890560875513,0.00273224043715847
50,0.7,0.8,1.0,0.0009115770282588879,0.0009115770282588879,0.0018214936247723133
50,0.7,0.9,1.0,0.00045558086560364467,0.00045558086560364467,0.0009107468123861566
60,0.7,0.6,1.0,0.011368804001819008,0.011368804001819008,0.022482014388489208
60,0.7,0.7,1.0,0.008159564823209429,0.008159564823209429,0.01618705035971223
60,0.7,0.8,1.0,0.004970628106642567,0.004970628106642567,0.009892086330935251
60,0.7,0.9,1.0,0.000449842555105713,0.000449842555105713,0.0008992805755395684
60,0.8,0.6,1.0,0.0009119927040583675,0.0009119927040583675,0.0018223234624145787
60,0.8,0.7,1.0,0.00045578851412944393,0.00045578851412944393,0.0009111617312072893
60,0.8,0.8,1.0,0.00045578851412944393,0.00045578851412944393,0.0009111617312072893
70,0.7,0.6,0.9827586206896551,0.02590909090909091,0.025897319400272602,0.050487156775907885
70,0.7,0.7,0.9791666666666666,0.021266968325791856,0.02125734961555857,0.04162976085031001
70,0.7,0.8,1.0,0.012096774193548387,0.012096774193548387,0.02390438247011952
70,0.7,0.9,1.0,0.0013297872340425532,0.0013297872340425532,0.0026560424966799467
70,0.8,0.6,1.0,0.004098360655737705,0.004098360655737705,0.00816326530612245
70,0.8,0.7,1.0,0.004098360655737705,0.004098360655737705,0.00816326530612245
70,0.8,0.8,1.0,0.001817355747387551,0.001817355747387551,0.0036281179138321997
70,0.8,0.9,1.0,0.00045372050816696913,0.00045372050816696913,0.0009070294784580499
80,0.7,0.6,0.9900990099009901,0.04528985507246377,0.04526935264825713,0.08661758336942399
80,0.7,0.7,0.9876543209876543,0.03590664272890485,0.03589053387169134,0.0692940666955392
80,0.7,0.8,1.0,0.02257636122177955,0.02257636122177955,0.04415584415584416
80,0.7,0.9,1.0,0.0017346053772766695,0.0017346053772766695,0.003463203463203463
