total_epoch,confidence_threshold,iou_threshold,precision,recall,accuracy,f1
10,0.7,0.6,0.9489795918367347,0.254272043745728,0.25084288604180716,0.40107816711590294
10,0.7,0.7,0.950530035335689,0.17046894803548795,0.16896984924623115,0.2890918860827512
10,0.7,0.8,0.9365671641791045,0.07243867243867244,0.07208500861573808,0.1344762925261184
10,0.7,0.9,0.9354838709677419,0.00780199085283831,0.007797795106211347,0.015474919957310566
10,0.8,0.6,0.9774193548387097,0.22595078299776286,0.2247774480712166,0.3670502725620836
10,0.8,0.7,0.9762931034482759,0.15945089757127773,0.158835904628331,0.2741301059001513
10,0.8,0.8,0.9820627802690582,0.07089673033344124,0.07080504364694472,0.1322463768115942
10,0.8,0.9,0.9642857142857143,0.008214177061149984,0.008211678832116789,0.016289592760180997
10,0.9,0.6,0.9908256880733946,0.17748562037797863,0.17719442165709598,0.3010452961672474
10,0.9,0.7,0.9907407407407407,0.12603062426383982,0.12588235294117647,0.22361546499477533
10,0.9,0.8,0.9878048780487805,0.05982274741506647,0.05977859778597786,0.11281337047353761
10,0.9,0.9,0.9523809523809523,0.0070126227208976155,0.0070101647388713636,0.013922728854855551
20,0.7,0.6,0.9348630643967432,0.46179159049360147,0.44739638682252925,0.618208516886931
20,0.7,0.7,0.9426008968609866,0.35091819699499166,0.3435763321346845,0.5114355231143553
20,0.7,0.8,0.9436619718309859,0.17233495284366962,0.17057991513437057,0.291445142580957
20,0.7,0.9,0.9459459459459459,0.025881192999753513,0.02584297317253261,0.05038387715930902
20,0.8,0.6,0.9546232876712328,0.44510978043912175,0.4358874120406568,0.6071331336781922
20,0.8,0.7,0.95562435500516,0.34119380987472364,0.33587232499093217,0.5028509367363563
20,0.8,0.8,0.953125,0.17579250720461095,0.1742857142857143,0.29683698296836986
20,0.8,0.9,0.9711538461538461,0.027908261950815142,0.02788514632799558,0.054257319366102605
20,0.9,0.6,0.969047619047619,0.348458904109589,0.34462320067739205,0.5125944584382871
20,0.9,0.7,0.9696092619392185,0.26907630522088355,0.26682596575069695,0.42125117887456776
20,0.9,0.8,0.9692671394799054,0.14822848879248013,0.14753508456279238,0.25713389777359674
20,0.9,0.9,0.9759036144578314,0.02598652550529355,0.025969862135299775,0.050625
30,0.7,0.6,0.9392684610075914,0.5131975867269984,0.49671532846715327,0.6637405510851012
30,0.7,0.7,0.9438860971524288,0.3849043715846995,0.3762938230383973,0.5468219311014071
30,0.7,0.8,0.9427792915531336,0.2027541752124231,0.20028943560057888,0.3337352302869544
30,0.7,0.9,0.9459459459459459,0.03471361269526407,0.03464488987874288,0.06696962449174838
30,0.8,0.6,0.954337899543379,0.4984101748807631,0.48680124223602483,0.6548302872062663
30,0.8,0.7,0.9579139981701739,0.38058887677208286,0.37432963889882015,0.5447450572320499
30,0.8,0.8,0.9587628865979382,0.20452403393025448,0.20274057925879788,0.33713102019678926
30,0.8,0.9,0.9703703703703703,0.034924020261263664,0.03488681757656458,0.06742151312403499
30,0.9,0.6,0.9680851063829787,0.45690376569037655,0.45012366034624895,0.6208072768618533
30,0.9,0.7,0.9705573080967402,0.3584466019417476,0.3545908567038033,0.5235394214407261
30,0.9,0.8,0.96964586846543,0.19537886510363575,0.19419115163796014,0.3252262443438914
30,0.9,0.9,0.975609756097561,0.03500583430571762,0.034975225881667155,0.06758659532526048
40,0.7,0.6,0.9248826291079812,0.5441988950276243,0.5211640211640212,0.6852173913043478
40,0.7,0.7,0.9304347826086956,0.4227729885057471,0.40981894150417825,0.5813781180538404
40,0.7,0.8,0.9384993849938499,0.23304825901038484,0.2295427196149218,0.3733790066063127
40,0.7,0.9,0.9580838323353293,0.040373454453696694,0.04030226700251889,0.0774818401937046
40,0.8,0.6,0.9357142857142857,0.5357873210633947,0.5167652859960552,0.6814044213263979
40,0.8,0.7,0.9389121338912134,0.42069741282339707,0.40948905109489053,0.581046090108752
40,0.8,0.8,0.9496124031007752,0.23542600896860988,0.23252135400189813,0.3773100616016427
40,0.8,0.9,0.968944099378882,0.041390289201379674,0.04133545310015898,0.07938931297709924
40,0.9,0.6,0.9570405727923628,0.5050377833753149,0.4938423645320197,0.6611706512778236
40,0.9,0.7,0.9601851851851851,0.40350194552529184,0.39686184462303864,0.5682191780821918
40,0.9,0.8,0.9634831460674157,0.23214890016920472,0.23012411942301242,0.3741478047450232
40,0.9,0.9,0.9797297297297297,0.0409373235460192,0.04090267983074753,0.07859078590785908
50,0.7,0.6,0.9221476510067114,0.5238276782310332,0.5016429353778752,0.6681254558716265
50,0.7,0.7,0.9253246753246753,0.3924268502581756,0.38038038038038036,0.5511240029006527
50,0.7,0.8,0.929757343550447,0.2146859333529932,0.21125943122460825,0.34882606612362244
50,0.7,0.9,0.9548387096774194,0.036390459798377184,0.03632793323514973,0.07010895310279489
50,0.8,0.6,0.9333333333333333,0.5247208931419458,0.5057647963105304,0.6717713118938233
50,0.8,0.7,0.9373390557939915,0.39365537130497474,0.3835616438356164,0.5544554455445545
50,0.8,0.8,0.9374167776298269,0.21904169259489734,0.2158846979454155,0.35510718789407314
